date	time	wind_gen_forecast	wind_gen_actual
10/1/2010	0:00	68	75
10/1/2010	0:05	67	72
10/1/2010	0:10	73	66
10/1/2010	0:15	73	65
10/1/2010	0:20	73	63
10/1/2010	0:25	73	63
10/1/2010	0:30	73	63
10/1/2010	0:35	73	64
10/1/2010	0:40	73	64
10/1/2010	0:45	73	66
10/1/2010	0:50	73	67
10/1/2010	0:55	71	68
10/1/2010	1:00	72	70
10/1/2010	1:05	75	76
10/1/2010	1:10	79	80
10/1/2010	1:15	79	78
10/1/2010	1:20	79	80
10/1/2010	1:25	79	78
10/1/2010	1:30	79	77
10/1/2010	1:35	79	77
10/1/2010	1:40	79	77
10/1/2010	1:45	79	72
10/1/2010	1:50	79	72
10/1/2010	1:55	70	72
10/1/2010	2:00	62	68
10/1/2010	2:05	59	66
10/1/2010	2:10	57	63
10/1/2010	2:15	57	60
10/1/2010	2:20	57	55
10/1/2010	2:25	57	54
10/1/2010	2:30	57	45
10/1/2010	2:35	57	48
10/1/2010	2:40	57	51
10/1/2010	2:45	57	50
10/1/2010	2:50	57	51
10/1/2010	2:55	52	51
10/1/2010	3:00	50	48
10/1/2010	3:05	49	47
10/1/2010	3:10	50	44
10/1/2010	3:15	50	47
10/1/2010	3:20	50	44
10/1/2010	3:25	50	41
10/1/2010	3:30	50	40
10/1/2010	3:35	50	39
10/1/2010	3:40	50	34
10/1/2010	3:45	50	32
10/1/2010	3:50	50	30
10/1/2010	3:55	48	27
10/1/2010	4:00	46	20
10/1/2010	4:05	45	17
10/1/2010	4:10	45	16
10/1/2010	4:15	45	14
10/1/2010	4:20	45	11
10/1/2010	4:25	45	9
10/1/2010	4:30	45	10
10/1/2010	4:35	45	12
10/1/2010	4:40	45	12
10/1/2010	4:45	45	11
10/1/2010	4:50	45	9
10/1/2010	4:55	37	9
10/1/2010	5:00	30	9
10/1/2010	5:05	25	9
10/1/2010	5:10	22	8
10/1/2010	5:15	22	8
10/1/2010	5:20	22	9
10/1/2010	5:25	22	9
10/1/2010	5:30	22	4
10/1/2010	5:35	22	4
10/1/2010	5:40	22	4
10/1/2010	5:45	22	4
10/1/2010	5:50	22	4
10/1/2010	5:55	18	7
10/1/2010	6:00	15	8
10/1/2010	6:05	14	8
10/1/2010	6:10	14	8
10/1/2010	6:15	14	8
10/1/2010	6:20	14	7
10/1/2010	6:25	14	10
10/1/2010	6:30	14	11
10/1/2010	6:35	14	10
10/1/2010	6:40	14	11
10/1/2010	6:45	14	10
10/1/2010	6:50	14	11
10/1/2010	6:55	13	12
10/1/2010	7:00	15	9
10/1/2010	7:05	15	9
10/1/2010	7:10	17	14
10/1/2010	7:15	17	11
10/1/2010	7:20	17	12
10/1/2010	7:25	17	14
10/1/2010	7:30	17	14
10/1/2010	7:35	17	11
10/1/2010	7:40	17	11
10/1/2010	7:45	17	12
10/1/2010	7:50	17	14
10/1/2010	7:55	15	17
10/1/2010	8:00	15	22
10/1/2010	8:05	15	22
10/1/2010	8:10	16	22
10/1/2010	8:15	16	20
10/1/2010	8:20	16	19
10/1/2010	8:25	16	14
10/1/2010	8:30	16	14
10/1/2010	8:35	16	18
10/1/2010	8:40	16	16
10/1/2010	8:45	16	17
10/1/2010	8:50	16	14
10/1/2010	8:55	15	12
10/1/2010	9:00	16	13
10/1/2010	9:05	17	11
10/1/2010	9:10	18	12
10/1/2010	9:15	18	10
10/1/2010	9:20	18	8
10/1/2010	9:25	18	8
10/1/2010	9:30	18	6
10/1/2010	9:35	18	6
10/1/2010	9:40	18	5
10/1/2010	9:45	18	5
10/1/2010	9:50	18	5
10/1/2010	9:55	14	6
10/1/2010	10:00	13	6
10/1/2010	10:05	12	6
10/1/2010	10:10	13	5
10/1/2010	10:15	13	5
10/1/2010	10:20	13	6
10/1/2010	10:25	13	6
10/1/2010	10:30	13	5
10/1/2010	10:35	13	6
10/1/2010	10:40	13	6
10/1/2010	10:45	13	6
10/1/2010	10:50	13	6
10/1/2010	10:55	11	6
10/1/2010	11:00	11	6
10/1/2010	11:05	11	7
10/1/2010	11:10	12	7
10/1/2010	11:15	12	9
10/1/2010	11:20	12	9
10/1/2010	11:25	12	9
10/1/2010	11:30	12	9
10/1/2010	11:35	12	9
10/1/2010	11:40	12	11
10/1/2010	11:45	12	13
10/1/2010	11:50	12	16
10/1/2010	11:55	12	16
10/1/2010	12:00	12	17
10/1/2010	12:05	12	20
10/1/2010	12:10	12	21
10/1/2010	12:15	12	21
10/1/2010	12:20	12	20
10/1/2010	12:25	12	21
10/1/2010	12:30	12	22
10/1/2010	12:35	12	21
10/1/2010	12:40	12	18
10/1/2010	12:45	12	17
10/1/2010	12:50	12	14
10/1/2010	12:55	14	14
10/1/2010	13:00	18	16
10/1/2010	13:05	22	17
10/1/2010	13:10	27	17
10/1/2010	13:15	27	14
10/1/2010	13:20	27	13
10/1/2010	13:25	27	10
10/1/2010	13:30	27	12
10/1/2010	13:35	27	11
10/1/2010	13:40	27	17
10/1/2010	13:45	27	23
10/1/2010	13:50	27	25
10/1/2010	13:55	24	22
10/1/2010	14:00	23	22
10/1/2010	14:05	22	20
10/1/2010	14:10	23	16
10/1/2010	14:15	23	19
10/1/2010	14:20	23	16
10/1/2010	14:25	23	10
10/1/2010	14:30	23	12
10/1/2010	14:35	23	13
10/1/2010	14:40	23	9
10/1/2010	14:45	23	8
10/1/2010	14:50	23	9
