Noise,SigD,SigI,PSNR
10,0.1,0.1,60.04150372
10,0.1,0.1,61.1399699423
10,0.1,0.1,60.0495617548
10,0.1,0.1,59.7719274415
10,0.1,0.1,60.9208472264
10,0.1,1.0,60.0849275605
10,0.1,1.0,62.1081402251
10,0.1,1.0,60.6733992223
10,0.1,1.0,60.6302932916
10,0.1,1.0,60.6802159989
10,0.1,2.0,58.5818717037
10,0.1,2.0,60.9303733237
10,0.1,2.0,61.5478601384
10,0.1,2.0,61.5613724145
10,0.1,2.0,62.359749092
10,0.1,3.0,60.8133133686
10,0.1,3.0,59.1513159614
10,0.1,3.0,57.3414650897
10,0.1,3.0,60.1555625345
10,0.1,3.0,61.016098607
10,0.1,4.0,60.3966686386
10,0.1,4.0,58.9350072833
10,0.1,4.0,60.3436164633
10,0.1,4.0,58.3367513734
10,0.1,4.0,61.5960260962
10,1.0,0.1,60.7419161105
10,1.0,0.1,59.8016721671
10,1.0,0.1,60.7165809463
10,1.0,0.1,62.2178519365
10,1.0,0.1,59.7655585021
10,1.0,1.0,64.6750034902
10,1.0,1.0,65.7017790784
10,1.0,1.0,61.98922136
10,1.0,1.0,64.6429790046
10,1.0,1.0,64.1196249528
10,1.0,2.0,70.5490820097
10,1.0,2.0,69.7588659705
10,1.0,2.0,69.8149790482
10,1.0,2.0,69.306088039
10,1.0,2.0,69.4699516056
10,1.0,3.0,70.965536148
10,1.0,3.0,67.9564691901
10,1.0,3.0,71.4949614374
10,1.0,3.0,70.3467244456
10,1.0,3.0,68.5536031487
10,1.0,4.0,69.79252196
10,1.0,4.0,69.9271482518
10,1.0,4.0,68.7743517133
10,1.0,4.0,72.5008516506
10,1.0,4.0,71.7265642351
10,2.0,0.1,60.7065952335
10,2.0,0.1,59.7415640356
10,2.0,0.1,61.563163257
10,2.0,0.1,61.0027907
10,2.0,0.1,61.7156847302
10,2.0,1.0,64.5743343379
10,2.0,1.0,67.0879431989
10,2.0,1.0,67.213300132
10,2.0,1.0,67.2990140712
10,2.0,1.0,69.2904340186
10,2.0,2.0,73.4637564384
10,2.0,2.0,72.416450598
10,2.0,2.0,76.9086837538
10,2.0,2.0,75.4774634921
10,2.0,2.0,74.0069762182
10,2.0,3.0,71.0643911072
10,2.0,3.0,75.0417940765
10,2.0,3.0,76.6205978595
10,2.0,3.0,74.0847199929
10,2.0,3.0,73.1153688387
10,2.0,4.0,70.244721818
10,2.0,4.0,75.904496061
10,2.0,4.0,72.4424542251
10,2.0,4.0,71.9010310681
10,2.0,4.0,74.7540898602
10,3.0,0.1,62.047848334
10,3.0,0.1,61.5222734185
10,3.0,0.1,61.2742999307
10,3.0,0.1,61.225573298
10,3.0,0.1,60.4674709147
10,3.0,1.0,68.0340849545
10,3.0,1.0,69.940187307
10,3.0,1.0,66.6902570368
10,3.0,1.0,68.0017628431
10,3.0,1.0,68.7385522581
10,3.0,2.0,72.5908095959
10,3.0,2.0,73.1805508746
10,3.0,2.0,74.6799258175
10,3.0,2.0,74.8259494777
10,3.0,2.0,74.0821748265
10,3.0,3.0,79.1781086791
10,3.0,3.0,76.2075199
10,3.0,3.0,76.7499628559
10,3.0,3.0,77.9028272547
10,3.0,3.0,74.4373623086
10,3.0,4.0,70.9583893722
10,3.0,4.0,69.3593024042
