Noise,SigD,SigI,Beta,Window,T,PSNR
1,2.0,2.0,0.5,7,0.3333,111.525982659
1,2.0,2.0,0.5,7,0.3333,111.063552091
1,2.0,2.0,0.5,7,0.3333,110.825090306
1,2.0,2.0,0.5,7,0.3333,111.80623491
1,2.0,2.0,0.5,7,0.3333,111.809183493
1,2.0,2.0,0.5,7,0.6666,109.139272335
1,2.0,2.0,0.5,7,0.6666,110.871504608
1,2.0,2.0,0.5,7,0.6666,113.658555534
1,2.0,2.0,0.5,7,0.6666,111.897890473
1,2.0,2.0,0.5,7,0.6666,110.487807913
1,2.0,2.0,1.0,7,0.3333,105.007000888
1,2.0,2.0,1.0,7,0.3333,104.347090037
1,2.0,2.0,1.0,7,0.3333,104.296940986
1,2.0,2.0,1.0,7,0.3333,105.351200035
1,2.0,2.0,1.0,7,0.3333,105.514024503
1,2.0,2.0,1.0,7,0.6666,106.867990987
1,2.0,2.0,1.0,7,0.6666,105.204520169
1,2.0,2.0,1.0,7,0.6666,106.837289678
1,2.0,2.0,1.0,7,0.6666,105.428187519
1,2.0,2.0,1.0,7,0.6666,105.406938359
1,2.0,3.0,0.5,7,0.3333,112.377255177
1,2.0,3.0,0.5,7,0.3333,107.350742698
1,2.0,3.0,0.5,7,0.3333,109.039489899
1,2.0,3.0,0.5,7,0.3333,112.48582645
1,2.0,3.0,0.5,7,0.3333,110.392183192
1,2.0,3.0,0.5,7,0.6666,110.871562964
1,2.0,3.0,0.5,7,0.6666,111.127413628
1,2.0,3.0,0.5,7,0.6666,111.178385304
1,2.0,3.0,0.5,7,0.6666,111.504045024
1,2.0,3.0,0.5,7,0.6666,112.015413374
1,2.0,3.0,1.0,7,0.3333,104.422020166
1,2.0,3.0,1.0,7,0.3333,106.078234977
1,2.0,3.0,1.0,7,0.3333,104.75185352
1,2.0,3.0,1.0,7,0.3333,105.723764122
1,2.0,3.0,1.0,7,0.3333,104.838767307
1,2.0,3.0,1.0,7,0.6666,105.29466116
1,2.0,3.0,1.0,7,0.6666,105.528763984
1,2.0,3.0,1.0,7,0.6666,103.235494243
1,2.0,3.0,1.0,7,0.6666,105.015013941
1,2.0,3.0,1.0,7,0.6666,103.988387909
1,3.0,2.0,0.5,7,0.3333,110.480503544
1,3.0,2.0,0.5,7,0.3333,110.870773694
1,3.0,2.0,0.5,7,0.3333,109.961089536
1,3.0,2.0,0.5,7,0.3333,110.771169714
1,3.0,2.0,0.5,7,0.3333,109.80597689
1,3.0,2.0,0.5,7,0.6666,113.163187378
1,3.0,2.0,0.5,7,0.6666,111.690183787
1,3.0,2.0,0.5,7,0.6666,113.282840498
1,3.0,2.0,0.5,7,0.6666,107.087995041
1,3.0,2.0,0.5,7,0.6666,110.689025651
1,3.0,2.0,1.0,7,0.3333,104.762172302
1,3.0,2.0,1.0,7,0.3333,105.17755186
1,3.0,2.0,1.0,7,0.3333,103.958885253
1,3.0,2.0,1.0,7,0.3333,104.958273038
1,3.0,2.0,1.0,7,0.3333,101.872700848
1,3.0,2.0,1.0,7,0.6666,104.999198971
1,3.0,2.0,1.0,7,0.6666,106.603450004
1,3.0,2.0,1.0,7,0.6666,105.111974074
1,3.0,2.0,1.0,7,0.6666,104.305454716
1,3.0,2.0,1.0,7,0.6666,104.063328972
1,3.0,3.0,0.5,7,0.3333,111.39224894
1,3.0,3.0,0.5,7,0.3333,110.776368399
1,3.0,3.0,0.5,7,0.3333,112.296817568
1,3.0,3.0,0.5,7,0.3333,112.276753917
1,3.0,3.0,0.5,7,0.3333,108.930552992
1,3.0,3.0,0.5,7,0.6666,108.053373742
1,3.0,3.0,0.5,7,0.6666,111.889551293
1,3.0,3.0,0.5,7,0.6666,111.945797956
1,3.0,3.0,0.5,7,0.6666,111.310812655
1,3.0,3.0,0.5,7,0.6666,109.630762985
1,3.0,3.0,1.0,7,0.3333,102.799607515
1,3.0,3.0,1.0,7,0.3333,107.514355602
1,3.0,3.0,1.0,7,0.3333,104.785080643
1,3.0,3.0,1.0,7,0.3333,104.546453781
1,3.0,3.0,1.0,7,0.3333,105.042520618
1,3.0,3.0,1.0,7,0.6666,103.69049949
1,3.0,3.0,1.0,7,0.6666,104.772164768
1,3.0,3.0,1.0,7,0.6666,105.316139452
1,3.0,3.0,1.0,7,0.6666,103.674042608
1,3.0,3.0,1.0,7,0.6666,104.615924624
5,2.0,2.0,0.5,7,0.3333,93.6528343817
5,2.0,2.0,0.5,7,0.3333,97.7523224821
5,2.0,2.0,0.5,7,0.3333,91.8029592642
5,2.0,2.0,0.5,7,0.3333,94.6627896456
5,2.0,2.0,0.5,7,0.3333,89.7332642129
5,2.0,2.0,0.5,7,0.6666,90.7567337347
5,2.0,2.0,0.5,7,0.6666,93.3244593698
5,2.0,2.0,0.5,7,0.6666,95.5946298653
5,2.0,2.0,0.5,7,0.6666,92.2931091454
5,2.0,2.0,0.5,7,0.6666,95.01633234
5,2.0,2.0,1.0,7,0.3333,93.7199206753
5,2.0,2.0,1.0,7,0.3333,92.0691698559
5,2.0,2.0,1.0,7,0.3333,97.6983447629
5,2.0,2.0,1.0,7,0.3333,94.2666435192
5,2.0,2.0,1.0,7,0.3333,91.5764363769
5,2.0,2.0,1.0,7,0.6666,98.4766909074
5,2.0,2.0,1.0,7,0.6666,93.2442854414
5,2.0,2.0,1.0,7,0.6666,93.1762352657
5,2.0,2.0,1.0,7,0.6666,92.5704521334
5,2.0,2.0,1.0,7,0.6666,89.8478601673
5,2.0,3.0,0.5,7,0.3333,93.6098505857
5,2.0,3.0,0.5,7,0.3333,93.0769121322
5,2.0,3.0,0.5,7,0.3333,92.1901738158
5,2.0,3.0,0.5,7,0.3333,97.9543112236
5,2.0,3.0,0.5,7,0.3333,91.7294916942
5,2.0,3.0,0.5,7,0.6666,95.9678034553
5,2.0,3.0,0.5,7,0.6666,92.2110751516
5,2.0,3.0,0.5,7,0.6666,95.1064828006
5,2.0,3.0,0.5,7,0.6666,93.2774554979
5,2.0,3.0,0.5,7,0.6666,96.3032094207
5,2.0,3.0,1.0,7,0.3333,90.968270031
5,2.0,3.0,1.0,7,0.3333,92.4907408578
5,2.0,3.0,1.0,7,0.3333,92.2526743787
5,2.0,3.0,1.0,7,0.3333,90.6564285949
5,2.0,3.0,1.0,7,0.3333,91.0273431196
5,2.0,3.0,1.0,7,0.6666,88.4944104689
5,2.0,3.0,1.0,7,0.6666,91.8656860097
5,2.0,3.0,1.0,7,0.6666,90.5124047446
5,2.0,3.0,1.0,7,0.6666,94.1183067728
5,2.0,3.0,1.0,7,0.6666,92.4673491807
5,3.0,2.0,0.5,7,0.3333,98.363075827
5,3.0,2.0,0.5,7,0.3333,99.036085751
5,3.0,2.0,0.5,7,0.3333,95.4167867728
5,3.0,2.0,0.5,7,0.3333,93.501751087
5,3.0,2.0,0.5,7,0.3333,97.9910879639
5,3.0,2.0,0.5,7,0.6666,98.8717170536
5,3.0,2.0,0.5,7,0.6666,97.6606452946
5,3.0,2.0,0.5,7,0.6666,99.5665115406
5,3.0,2.0,0.5,7,0.6666,95.2154648888
5,3.0,2.0,0.5,7,0.6666,98.3481038932
5,3.0,2.0,1.0,7,0.3333,92.6226911981
5,3.0,2.0,1.0,7,0.3333,90.9637658709
5,3.0,2.0,1.0,7,0.3333,92.4980808054
5,3.0,2.0,1.0,7,0.3333,93.5142982214
5,3.0,2.0,1.0,7,0.3333,91.0053950153
5,3.0,2.0,1.0,7,0.6666,91.7064826458
5,3.0,2.0,1.0,7,0.6666,91.5661935902
5,3.0,2.0,1.0,7,0.6666,98.6657655877
5,3.0,2.0,1.0,7,0.6666,94.1301246644
5,3.0,2.0,1.0,7,0.6666,93.6769838756
5,3.0,3.0,0.5,7,0.3333,94.5775925004
5,3.0,3.0,0.5,7,0.3333,96.2832003226
5,3.0,3.0,0.5,7,0.3333,93.131515847
