Noise,Window,PSNR
10,3,74.9645474793
10,3,73.3104101039
10,3,74.8519282225
10,3,73.7619869771
10,3,73.6048645586
10,5,76.0271678132
10,5,73.994288331
10,5,73.8810816288
10,5,74.3751820612
10,5,72.8018747812
10,7,71.3308022822
10,7,72.2906869055
10,7,73.5979579739
10,7,74.9904386455
10,7,74.6243713884
10,9,74.2893173649
10,9,72.2856027896
10,9,70.4155140845
10,9,72.9467342336
10,9,71.8016027317
20,3,62.1798708364
20,3,61.7143750115
20,3,64.791779173
20,3,61.8947226216
20,3,64.6496437664
20,5,65.0156317225
20,5,64.0598336332
20,5,64.9983320408
20,5,63.6157018597
20,5,67.9231698193
20,7,60.9164525984
20,7,61.704684846
20,7,63.1139371713
20,7,63.2639301109
20,7,65.2377697665
20,9,62.4437444396
20,9,62.9088245553
20,9,64.7325220751
20,9,61.9638934473
20,9,63.0855998055
30,3,57.9350774443
30,3,57.1557552546
30,3,56.7781056565
30,3,53.0795425164
30,3,55.3750978122
30,5,60.5990584682
30,5,55.1570932095
30,5,57.8829219514
30,5,57.2948159013
30,5,56.9312161841
30,7,58.8514643122
30,7,54.7971855411
30,7,54.9552581205
30,7,53.9651230329
30,7,55.1383392034
30,9,57.5377904422
30,9,55.076003768
30,9,55.0945245496
30,9,56.3634855205
30,9,55.2100908488
1,3,85.8447637407
1,3,85.5344791526
1,3,85.4605237168
1,3,85.4657199424
1,3,85.6782629279
1,5,85.5790534519
1,5,85.6965620808
1,5,85.8381742559
1,5,85.5207942281
1,5,85.3504437036
1,7,85.6371463511
1,7,85.6191519673
1,7,85.4745080332
1,7,85.4436124963
1,7,85.521770255
1,9,85.5547681784
1,9,85.6083574759
1,9,85.519995463
1,9,85.5655057463
1,9,85.7686065217
5,3,80.6962949222
5,3,82.1802273376
5,3,80.483260827
5,3,81.2640472198
5,3,80.9019769465
5,5,81.1941222191
5,5,80.3524531155
5,5,80.673711253
5,5,80.8813154136
5,5,80.571710187
5,7,82.5169046766
5,7,81.100757216
5,7,81.3807482946
5,7,80.6379809833
5,7,81.4155572391
5,9,80.7708869561
5,9,81.1907352994
5,9,80.5437426397
5,9,82.5308316461
5,9,80.823900615
1,3,85.5325514847
1,3,85.4106201779
1,3,85.3366330725
1,3,85.71480908
1,3,85.5990779722
1,5,85.5405687939
1,5,85.5323906473
1,5,85.6377042154
1,5,85.4229778307
1,5,85.8214169001
1,7,85.4463019612
1,7,85.6845498573
1,7,85.5892151974
1,7,85.6662126056
1,7,85.41006288
1,9,85.5742130674
1,9,85.4044982706
1,9,85.7460730639
1,9,85.5742731753
1,9,85.2190850352
5,3,79.2429206666
5,3,81.2912276521
5,3,82.730088583
5,3,81.5680435766
5,3,80.7782592888
5,5,81.6212475387
5,5,81.602176167
5,5,81.4071608247
5,5,81.5385567995
5,5,81.0665323312
5,7,80.2233333548
5,7,80.9127049959
5,7,81.6413955641
5,7,80.5270734186
5,7,80.229666933
5,9,81.8829532633
5,9,82.0394341874
5,9,80.8093811634
5,9,81.2209692735
5,9,80.2424297146
10,3,72.0950053185
10,3,73.1036313086
10,3,75.2060896187
10,3,74.0886791187
10,3,75.4781211675
10,5,73.0139823871
10,5,73.4476235631
10,5,73.3925353468
10,5,74.8393710371
10,5,72.0387097035
10,7,72.5571398132
10,7,75.1007786102
10,7,72.9757281893
10,7,73.3281701764
10,7,71.6935925843
10,9,73.2814662814
10,9,74.1274868016
10,9,70.767007273
10,9,74.1906017403
10,9,73.6460954516
20,3,63.6045523752
20,3,62.0467277314
20,3,61.8064815185
20,3,62.3896461263
20,3,63.1064666874
20,5,62.999814813
20,5,62.9515745047
20,5,62.7479964991
20,5,63.3096474357
20,5,65.6132253382
20,7,64.3567893545
20,7,61.3291308916
20,7,63.212895759
20,7,64.541004154
20,7,60.1855821751
20,9,63.0066114799
20,9,64.2439364671
20,9,62.6028950287
20,9,63.8867178936
20,9,60.2925689387
30,3,56.360243552
30,3,53.1395087523
30,3,56.9560291687
30,3,56.7875440985
30,3,55.481036919
30,5,55.0943184601
30,5,55.3925197865
30,5,57.5301120409
30,5,56.1671715699
30,5,56.8320413162
30,7,57.8085565175
30,7,55.4992934811
30,7,55.8763590215
30,7,56.2735951379
30,7,58.4845177308
30,9,55.3084621828
30,9,57.1549624798
30,9,55.8014933189
30,9,55.800874223
30,9,57.7893557873
1,1,85.5560156616
1,1,85.5603495971
1,1,85.6297841589
1,1,85.5801106669
1,1,85.5776058382
1,1,85.5543645289
1,1,85.4991597731
1,1,85.5591984462
1,1,85.6363257476
1,1,85.4270153999
1,1,85.763937551
1,1,85.5760872184
1,1,85.5761438114
1,1,85.8880926391
1,1,85.7504848977
1,1,85.2958323885
1,1,85.6247643611
1,1,85.5552874946
1,1,85.2143107892
1,1,85.5510339555
1,1,85.5136224847
1,1,85.5074247408
1,1,85.2831926134
1,1,85.4262956321
1,1,85.5397476069
5,1,80.2787379641
5,1,82.9546903057
5,1,82.1142871228
5,1,80.4240466505
5,1,80.8276501764
5,1,79.6632478126
5,1,80.7460261258
5,1,80.0500084223
5,1,82.2485181695
5,1,80.8617068096
5,1,81.0976349186
5,1,80.8327250175
5,1,81.9822334742
5,1,80.8792480783
5,1,81.313335775
5,1,80.5364492984
5,1,81.7577785084
5,1,80.426245077
5,1,80.9942296949
5,1,81.031783428
5,1,81.4959719342
5,1,80.732565772
5,1,80.8589838708
5,1,82.6062240776
5,1,81.3015520936
10,1,72.119473666
10,1,72.3532199104
10,1,73.2288404302
10,1,73.0860356116
10,1,72.9299871975
10,1,75.9191127762
10,1,70.6845550215
10,1,71.0466010768
10,1,75.6582468616
10,1,72.8476147781
10,1,76.1725630617
10,1,75.4885043619
10,1,75.7178697062
10,1,73.1341279015
10,1,74.4574490287
10,1,73.8380487073
10,1,73.7942956242
10,1,73.0598379268
10,1,73.2903833995
10,1,73.5039872542
10,1,74.5602362636
10,1,72.6935190886
10,1,74.0214468775
10,1,73.6861540998
10,1,72.2473494363
20,1,61.2255783992
20,1,65.0513583276
20,1,60.9789249069
20,1,61.3844851736
20,1,65.3752598318
20,1,64.3792832878
20,1,65.1058864755
20,1,62.6042201983
20,1,61.9217605457
20,1,62.0790624616
20,1,63.3311882756
20,1,61.6745387944
20,1,60.4297087745
20,1,65.8106908275
20,1,64.7257945262
20,1,62.334449035
20,1,59.9391679006
20,1,64.9291117568
20,1,63.8285947755
20,1,63.7204923633
20,1,63.4113249747
20,1,60.9155104792
20,1,63.0013924711
20,1,64.9553682629
20,1,65.1770812617
30,1,57.5907446491
30,1,56.5794029114
30,1,56.0754579098
30,1,57.1794648368
30,1,58.6169973086
30,1,55.7714626918
30,1,54.9598839085
30,1,56.7687745002
30,1,55.9719927686
30,1,56.4093135047
30,1,53.458950052
30,1,56.8942272267
30,1,59.1997422759
30,1,55.6126045286
30,1,56.2152128205
30,1,57.3072028973
30,1,56.5878268832
30,1,55.7805642955
30,1,55.4977811756
30,1,53.2826588551
30,1,57.6513210252
30,1,58.601215114
30,1,56.0587943019
30,1,56.8191381086
30,1,57.531289692
