Noise,Thresh,PSNR
10,0.1,67.1180432495
10,0.1,66.2756003782
10,0.1,66.8849513653
10,0.1,68.3892211332
10,0.1,67.964173429
10,1.0,41.42045346
10,1.0,41.0912353461
10,1.0,41.3534900082
10,1.0,41.3151868777
10,1.0,41.3441553888
10,2.0,27.4076085819
10,2.0,27.4694200454
10,2.0,27.4261321305
10,2.0,27.3540396592
10,2.0,27.2880038048
10,3.0,27.4132507294
10,3.0,27.4639597857
10,3.0,27.4523877106
10,3.0,27.4405065249
10,3.0,27.3901306551
20,0.1,54.9688652352
20,0.1,56.8890242575
20,0.1,55.4871886766
20,0.1,54.394089862
20,0.1,54.4831351565
20,1.0,35.4351266045
20,1.0,41.5379206217
20,1.0,41.3890527885
20,1.0,40.750700037
20,1.0,40.9395300219
20,2.0,27.396690793
20,2.0,27.4718020496
20,2.0,27.4583089122
20,2.0,27.561226449
20,2.0,27.4692918296
20,3.0,27.4414917078
20,3.0,27.3944260697
20,3.0,27.3719380498
20,3.0,27.1938890534
20,3.0,27.1728420287
30,0.1,45.5059606512
30,0.1,44.7550287072
30,0.1,48.1679749619
30,0.1,47.5377390687
30,0.1,45.6367952826
30,1.0,35.8360614136
30,1.0,41.1845331545
30,1.0,40.6685455845
30,1.0,42.0580782692
30,1.0,35.9231215885
30,2.0,27.0821472543
30,2.0,27.2895891301
30,2.0,27.7477568123
30,2.0,27.331351712
30,2.0,26.9727551635
30,3.0,27.4769976147
30,3.0,26.9544109372
30,3.0,27.3773438073
30,3.0,27.4916938619
30,3.0,26.9421443564
1,0.1,73.1390484859
1,0.1,72.7463913705
1,0.1,72.6735361719
1,0.1,72.1723384453
1,0.1,72.6947391771
1,1.0,41.3292337551
1,1.0,41.305985187
1,1.0,41.3129279104
1,1.0,41.3087891458
1,1.0,41.3087767928
1,2.0,27.3757319633
1,2.0,27.3857345263
1,2.0,27.3969369489
1,2.0,27.3899725196
1,2.0,27.3904314609
1,3.0,27.3953275164
1,3.0,27.3717970166
1,3.0,27.3774460307
1,3.0,27.3805744378
1,3.0,27.3935137288
5,0.1,71.4810647396
5,0.1,70.1977723677
5,0.1,72.7242958858
5,0.1,73.1074738338
5,0.1,71.4466591309
5,1.0,41.306561753
5,1.0,41.2530282819
5,1.0,41.2839281977
5,1.0,41.2946805171
5,1.0,41.3804671612
5,2.0,27.3885119183
5,2.0,27.4265917159
5,2.0,27.4123627101
5,2.0,27.3936731954
5,2.0,27.4028557225
5,3.0,27.4214335361
5,3.0,27.4376385867
5,3.0,27.4325111497
5,3.0,27.4291017589
5,3.0,27.4332324377
1,0.25,60.0059219489
1,0.25,60.0561442816
1,0.25,60.0248194055
1,0.25,60.0122305686
1,0.25,60.0179868757
1,0.5,51.8380525488
1,0.5,51.8111595157
1,0.5,51.8497444968
1,0.5,51.8608628677
1,0.5,51.8042482598
1,0.75,45.0249968702
1,0.75,44.9860763116
1,0.75,44.9986139512
1,0.75,45.0081693709
1,0.75,44.9875345989
5,0.25,59.9143344935
5,0.25,61.4179223246
5,0.25,59.9059398919
5,0.25,60.8455522027
5,0.25,59.7008832238
5,0.5,51.7762926306
5,0.5,51.9416673842
5,0.5,51.8986457493
5,0.5,51.6906363832
5,0.5,51.7302739643
5,0.75,44.9506940756
5,0.75,45.0385122685
5,0.75,45.0804771226
5,0.75,45.0229057529
5,0.75,44.9951902408
10,0.25,59.3856457667
10,0.25,58.9126312937
10,0.25,60.8901588223
10,0.25,59.6482240662
10,0.25,60.7806998606
10,0.5,53.47797634
10,0.5,51.6932233148
10,0.5,51.9411921502
10,0.5,51.921674189
10,0.5,51.7693407784
10,0.75,44.8226150246
10,0.75,44.9942843825
10,0.75,44.9499685207
10,0.75,45.0119970751
10,0.75,44.8127597017
20,0.25,59.5758257588
20,0.25,58.3692311532
20,0.25,59.0490260872
20,0.25,57.3425463061
20,0.25,57.6339270991
20,0.5,51.9550762019
20,0.5,52.3718962745
20,0.5,51.3405256915
20,0.5,51.7548502548
20,0.5,51.4154358172
20,0.75,48.0724782443
20,0.75,44.7381984268
20,0.75,42.6510733712
20,0.75,44.5886259762
20,0.75,44.2831182637
30,0.25,50.82570974
30,0.25,49.2009254898
30,0.25,50.1111450249
30,0.25,52.3084500783
30,0.25,51.0659546259
30,0.5,52.6174942303
30,0.5,51.1346075376
30,0.5,50.8377265888
30,0.5,50.2707410996
30,0.5,54.568678444
30,0.75,45.758160601
30,0.75,43.2943905106
30,0.75,49.3041332436
30,0.75,46.2731532707
30,0.75,41.2005832819
1,2.25,27.3840288812
1,2.25,27.3918030128
1,2.25,27.3844562079
1,2.25,27.3851933001
1,2.25,27.3880179099
1,2.5,27.3747853078
1,2.5,27.3857117366
1,2.5,27.394322086
1,2.5,27.3764325617
1,2.5,27.3869945462
1,2.75,27.377821796
1,2.75,27.3826990363
1,2.75,27.3839024856
1,2.75,27.3838250363
1,2.75,27.3855612405
5,2.25,27.3657712433
5,2.25,27.3664143739
5,2.25,27.4772642458
5,2.25,27.4026229762
5,2.25,27.3657705373
5,2.5,27.4350998526
5,2.5,27.3706899371
5,2.5,27.3711528926
5,2.5,27.3935377815
5,2.5,27.3956085523
5,2.75,27.3806521935
5,2.75,27.3546988578
5,2.75,27.3601586047
5,2.75,27.4097622506
5,2.75,27.33600117
10,2.25,27.4701973564
10,2.25,27.4108294584
10,2.25,27.34449794
10,2.25,27.4433224849
10,2.25,27.3728967606
10,2.5,27.4524526671
10,2.5,27.3584214843
10,2.5,27.4100039597
10,2.5,27.2974396228
10,2.5,27.3527704138
10,2.75,27.4218396142
10,2.75,27.5412886992
10,2.75,27.2985820477
10,2.75,27.3715392322
10,2.75,27.3279618679
20,2.25,27.5060392798
20,2.25,27.2318794052
20,2.25,27.4572053417
20,2.25,27.1977675377
20,2.25,27.3367030629
20,2.5,27.5302034866
20,2.5,27.459991074
20,2.5,27.1562929018
20,2.5,27.5192128001
20,2.5,27.3862045468
20,2.75,27.4709351001
20,2.75,27.1860687974
20,2.75,27.0935089213
20,2.75,27.2494881937
20,2.75,27.1958996798
30,2.25,27.6285240829
30,2.25,27.6016088545
30,2.25,27.5647447307
30,2.25,27.1178623594
30,2.25,27.3934679197
30,2.5,27.0028295758
30,2.5,27.1973039653
30,2.5,26.7388374496
30,2.5,27.531998274
30,2.5,27.8311725953
30,2.75,27.351782239
30,2.75,27.1635912238
30,2.75,27.427882402
30,2.75,27.3405478991
30,2.75,27.7345245753
1,0.1,73.2107745735
1,0.1,73.0738856957
1,0.1,72.1730986352
1,0.1,72.299299172
1,0.1,73.0968021569
1,0.15,67.1599019726
1,0.15,67.1839743457
1,0.15,67.5877038846
1,0.15,67.1883122316
1,0.15,67.6738988128
1,0.2,63.5570088986
1,0.2,63.5675826952
1,0.2,64.3239828498
1,0.2,63.5892726023
1,0.2,63.5394602637
1,0.75,45.0171211196
1,0.75,45.0092816571
1,0.75,45.0048175449
1,0.75,45.0020772305
1,0.75,45.0438201424
1,0.85,41.3122701547
1,0.85,41.2663175644
1,0.85,41.3363727424
1,0.85,41.3117144694
1,0.85,41.3220433101
1,0.95,41.3335368445
1,0.95,41.2967029837
1,0.95,41.3332799142
1,0.95,41.3125096197
1,0.95,41.3221899387
1,1.0,41.3301166976
1,1.0,41.289758222
1,1.0,41.3385110738
1,1.0,41.3228750567
1,1.0,41.3055689738
5,0.1,72.2194617184
5,0.1,71.7025192164
5,0.1,72.9868934561
5,0.1,71.6526589516
5,0.1,71.985124708
5,0.15,66.3887253268
5,0.15,65.7314633381
5,0.15,67.0173114529
5,0.15,66.6367363478
5,0.15,67.1702624134
5,0.2,64.0134154134
5,0.2,63.5174952064
5,0.2,63.2738476047
5,0.2,63.4439029092
5,0.2,62.5143983317
5,0.75,44.905214347
5,0.75,44.9635337114
5,0.75,44.9959801977
5,0.75,45.0556444682
5,0.75,45.0154265518
5,0.85,41.2406118114
5,0.85,41.4395736524
5,0.85,45.0329607996
5,0.85,45.0787896679
5,0.85,45.0385111614
5,0.95,41.3777622061
5,0.95,41.2044589202
5,0.95,41.2586889076
5,0.95,41.2398666161
5,0.95,41.2919914871
5,1.0,41.4011367336
5,1.0,41.2263127545
5,1.0,41.2407917925
5,1.0,41.357532006
5,1.0,41.3334763707
10,0.1,66.1351000956
10,0.1,66.1684282388
10,0.1,66.6945841961
10,0.1,66.3818430308
10,0.1,67.4716259054
10,0.15,65.4121885705
10,0.15,67.5772285545
10,0.15,64.1608294511
10,0.15,65.6422818989
10,0.15,63.3440877622
10,0.2,62.8311142845
10,0.2,63.37104165
10,0.2,61.5449876903
10,0.2,60.8069151183
10,0.2,62.9618699325
10,0.75,44.8922979078
10,0.75,45.0292581698
10,0.75,44.9310916217
10,0.75,45.0524366719
10,0.75,44.6921016221
10,0.85,44.9035144841
10,0.85,44.9957935084
10,0.85,41.2120384095
10,0.85,45.1750033188
10,0.85,41.2939937085
10,0.95,41.3002550185
10,0.95,41.3786377729
10,0.95,41.2820004387
10,0.95,40.9464478475
10,0.95,41.2959750871
10,1.0,41.4196845078
10,1.0,41.3336291648
10,1.0,41.5362136138
10,1.0,41.4008629451
10,1.0,41.1352656633
20,0.1,53.1719866388
20,0.1,54.1706394135
20,0.1,54.0352043541
20,0.1,55.249126408
20,0.1,52.471984297
20,0.15,54.7460172419
20,0.15,56.3428638871
20,0.15,53.9410317261
20,0.15,56.3928372936
20,0.15,56.4776786592
20,0.2,56.7764680934
20,0.2,59.2080499116
20,0.2,55.9920942751
20,0.2,54.8865078849
20,0.2,56.5421038262
20,0.75,45.0357376695
20,0.75,46.1566906798
20,0.75,46.8555067164
20,0.75,42.5037070819
20,0.75,45.2077520722
20,0.85,48.9955850131
20,0.85,41.1827552096
20,0.85,41.2778930236
20,0.85,45.0157138231
20,0.85,44.6834016641
20,0.95,41.1283604649
20,0.95,41.2576417107
20,0.95,41.3951696385
20,0.95,41.3893342337
20,0.95,41.1458817675
20,1.0,36.1950099366
20,1.0,41.3231690137
20,1.0,40.8312090503
20,1.0,40.7317097714
20,1.0,41.3139934348
30,0.1,46.7455031519
30,0.1,47.0985487655
30,0.1,47.104438497
30,0.1,46.8083133855
30,0.1,48.0360594118
30,0.15,48.2509905804
30,0.15,49.5058306178
30,0.15,48.4420587228
30,0.15,46.1129547418
30,0.15,49.7329275052
30,0.2,44.4120747157
30,0.2,48.1145196167
30,0.2,49.4231526187
30,0.2,47.6536994876
30,0.2,47.4432257123
30,0.75,46.1610121765
30,0.75,46.7108363012
30,0.75,41.1307088442
30,0.75,43.0308029277
30,0.75,45.3795483584
30,0.85,44.873217002
30,0.85,45.1423846122
30,0.85,45.3638481122
30,0.85,41.0371885411
30,0.85,44.4854856044
30,0.95,41.1845761032
30,0.95,44.9935023823
30,0.95,45.2493107723
30,0.95,40.3583176711
30,0.95,44.966562758
30,1.0,41.1979473733
30,1.0,40.9329414115
30,1.0,41.2593183987
30,1.0,35.6548324659
30,1.0,44.9448529066
