Noise,SigD,PSNR
10,0.1,62.119583635
10,0.1,62.3445947299
10,0.1,61.8914805039
10,0.1,62.7031470253
10,0.1,61.0476248261
10,1.0,71.5114203525
10,1.0,70.895031059
10,1.0,74.1771230872
10,1.0,72.1907608874
10,1.0,73.1768509399
10,2.0,74.1224158792
10,2.0,76.8144992213
10,2.0,76.1366817657
10,2.0,72.6986127655
10,2.0,74.8950544393
10,3.0,76.1074621109
10,3.0,77.8783004836
10,3.0,75.0156533482
10,3.0,73.5729519826
10,3.0,74.3895346431
10,4.0,73.1645679967
10,4.0,73.015593362
10,4.0,76.5148300444
10,4.0,72.9715741435
10,4.0,72.9360777293
20,0.1,50.9161482121
20,0.1,50.543367992
20,0.1,50.0335758411
20,0.1,50.7072966345
20,0.1,50.1675554802
20,1.0,63.4058418554
20,1.0,61.3207703232
20,1.0,62.7448043867
20,1.0,61.2895850313
20,1.0,62.0882585997
20,2.0,67.564473933
20,2.0,66.6172775733
20,2.0,65.2637756799
20,2.0,63.6892897734
20,2.0,63.8367393545
20,3.0,68.3670475699
20,3.0,66.1023150305
20,3.0,68.3890562854
20,3.0,70.4673056509
20,3.0,69.8139910637
20,4.0,71.4194404128
20,4.0,65.8546093487
20,4.0,69.9721366386
20,4.0,68.2648363557
20,4.0,68.2092577407
30,0.1,42.5393463713
30,0.1,45.6448172174
30,0.1,47.3831186909
30,0.1,42.3937009358
30,0.1,43.1900930783
30,1.0,53.8432758554
30,1.0,52.396619046
30,1.0,54.4569708957
30,1.0,50.8818087247
30,1.0,53.1734930642
30,2.0,58.255771802
30,2.0,58.7587520915
30,2.0,58.8299471824
30,2.0,56.4177343642
30,2.0,57.0424506
30,3.0,61.3887953167
30,3.0,61.7089989214
30,3.0,59.7477256129
30,3.0,62.2296530622
30,3.0,64.6780883696
30,4.0,59.9898078848
30,4.0,63.8447795018
30,4.0,66.2661775697
30,4.0,62.4666774571
30,4.0,63.6183175093
10,2.25,76.6931930064
10,2.25,72.875839278
10,2.25,76.9588290979
10,2.25,74.0647780862
10,2.25,74.3040692511
10,2.5,75.0102801033
10,2.5,76.0022790121
10,2.5,75.9938489067
10,2.5,74.9669846682
10,2.5,74.4191978203
10,2.75,75.5349706769
10,2.75,75.5337712188
10,2.75,76.4740411035
10,2.75,76.2958513403
10,2.75,75.0380143621
20,2.25,64.0136409984
20,2.25,66.0070810818
20,2.25,64.9135302829
20,2.25,65.5650895872
20,2.25,67.0563123479
20,2.5,65.9487693354
20,2.5,68.9909339047
20,2.5,65.6213189272
20,2.5,70.8085296287
20,2.5,63.0408174825
20,2.75,65.2944980516
20,2.75,71.881157571
20,2.75,63.2640102522
20,2.75,67.21996544
20,2.75,68.179848937
30,2.25,60.4303198766
30,2.25,64.7402802781
30,2.25,59.874204681
30,2.25,58.95223865
30,2.25,59.2915619305
30,2.5,63.6056277402
30,2.5,58.4004171586
30,2.5,60.6350858761
30,2.5,60.4039829647
30,2.5,63.1718738499
30,2.75,61.9058783782
30,2.75,62.7866225979
30,2.75,59.8018705409
30,2.75,58.3622010164
30,2.75,58.8075753345
1,2.25,83.357549793
1,2.25,83.4582765445
1,2.25,83.3906848803
1,2.25,83.2629166946
1,2.25,83.1604980291
1,2.5,82.1627202989
1,2.5,82.0618411966
1,2.5,82.2456228922
1,2.5,82.2777384078
1,2.5,82.143493195
1,2.75,81.2382737363
1,2.75,81.3413639636
1,2.75,81.0499816136
1,2.75,81.2128073113
1,2.75,81.2812123441
5,2.25,80.1836147061
5,2.25,82.025640945
