Noise,SigD1,SigI1,SigD2,SigI2,PSNR
1,2.0,2.0,2.0,2.0,125.362419454
1,2.0,2.0,2.0,2.0,122.804632241
1,2.0,2.0,2.0,2.0,126.651996702
1,2.0,2.0,2.0,2.0,126.56439033
1,2.0,2.0,2.0,2.0,125.524517262
1,2.0,2.0,2.0,2.5,123.986295691
1,2.0,2.0,2.0,2.5,125.808668263
1,2.0,2.0,2.0,2.5,130.447952558
1,2.0,2.0,2.0,2.5,129.597397339
1,2.0,2.0,2.0,2.5,126.863638678
1,2.0,2.0,2.0,3.0,127.926575048
1,2.0,2.0,2.0,3.0,127.182471159
1,2.0,2.0,2.0,3.0,125.186520484
1,2.0,2.0,2.0,3.0,127.055332545
1,2.0,2.0,2.0,3.0,120.177693206
1,2.0,2.0,2.5,2.0,127.084393536
1,2.0,2.0,2.5,2.0,124.071591828
1,2.0,2.0,2.5,2.0,126.641167271
1,2.0,2.0,2.5,2.0,126.672391626
1,2.0,2.0,2.5,2.0,125.657779465
1,2.0,2.0,2.5,2.5,127.73644769
1,2.0,2.0,2.5,2.5,127.135213332
1,2.0,2.0,2.5,2.5,125.779873032
1,2.0,2.0,2.5,2.5,126.402622034
1,2.0,2.0,2.5,2.5,126.637145486
1,2.0,2.0,2.5,3.0,122.985979165
1,2.0,2.0,2.5,3.0,132.498117668
1,2.0,2.0,2.5,3.0,129.758277854
1,2.0,2.0,2.5,3.0,129.279109693
1,2.0,2.0,2.5,3.0,128.143119821
1,2.0,2.0,3.0,2.0,128.661571159
1,2.0,2.0,3.0,2.0,125.577920665
1,2.0,2.0,3.0,2.0,127.594462825
1,2.0,2.0,3.0,2.0,125.352346653
1,2.0,2.0,3.0,2.0,121.400645717
1,2.0,2.0,3.0,2.5,126.148089521
1,2.0,2.0,3.0,2.5,125.152537946
1,2.0,2.0,3.0,2.5,127.262851324
1,2.0,2.0,3.0,2.5,126.256285269
1,2.0,2.0,3.0,2.5,126.161137268
1,2.0,2.0,3.0,3.0,127.339657084
1,2.0,2.0,3.0,3.0,130.385393226
1,2.0,2.0,3.0,3.0,130.509015122
1,2.0,2.0,3.0,3.0,125.855374308
1,2.0,2.0,3.0,3.0,127.704582826
1,2.0,2.5,2.0,2.0,123.237521605
1,2.0,2.5,2.0,2.0,127.123781033
1,2.0,2.5,2.0,2.0,126.595484885
1,2.0,2.5,2.0,2.0,126.503907053
1,2.0,2.5,2.0,2.0,123.850143998
1,2.0,2.5,2.0,2.5,125.662854799
1,2.0,2.5,2.0,2.5,129.127821701
1,2.0,2.5,2.0,2.5,123.500652908
1,2.0,2.5,2.0,2.5,126.768756427
1,2.0,2.5,2.0,2.5,126.08760497
1,2.0,2.5,2.0,3.0,128.507368952
1,2.0,2.5,2.0,3.0,124.332934143
1,2.0,2.5,2.0,3.0,124.811453845
1,2.0,2.5,2.0,3.0,128.287450139
1,2.0,2.5,2.0,3.0,123.374529882
1,2.0,2.5,2.5,2.0,125.295060039
1,2.0,2.5,2.5,2.0,125.471043483
1,2.0,2.5,2.5,2.0,125.539816687
1,2.0,2.5,2.5,2.0,128.598502265
1,2.0,2.5,2.5,2.0,129.135573209
1,2.0,2.5,2.5,2.5,130.333244117
1,2.0,2.5,2.5,2.5,124.908662025
1,2.0,2.5,2.5,2.5,127.457319779
1,2.0,2.5,2.5,2.5,125.988672393
1,2.0,2.5,2.5,2.5,125.941274832
1,2.0,2.5,2.5,3.0,126.782309471
1,2.0,2.5,2.5,3.0,128.528350677
1,2.0,2.5,2.5,3.0,126.508585515
1,2.0,2.5,2.5,3.0,128.693247717
1,2.0,2.5,2.5,3.0,124.960526021
1,2.0,2.5,3.0,2.0,127.691817016
1,2.0,2.5,3.0,2.0,124.821560991
1,2.0,2.5,3.0,2.0,119.801624347
1,2.0,2.5,3.0,2.0,127.315768834
1,2.0,2.5,3.0,2.0,123.908169578
1,2.0,2.5,3.0,2.5,122.315082167
1,2.0,2.5,3.0,2.5,125.605111173
1,2.0,2.5,3.0,2.5,127.650484174
1,2.0,2.5,3.0,2.5,124.833243475
1,2.0,2.5,3.0,2.5,126.634638537
1,2.0,2.5,3.0,3.0,124.875183335
1,2.0,2.5,3.0,3.0,124.936734471
1,2.0,2.5,3.0,3.0,128.020470566
1,2.0,2.5,3.0,3.0,127.69446815
1,2.0,2.5,3.0,3.0,124.541899696
1,2.0,3.0,2.0,2.0,128.812720581
1,2.0,3.0,2.0,2.0,125.741803569
1,2.0,3.0,2.0,2.0,125.530053111
1,2.0,3.0,2.0,2.0,127.952093543
1,2.0,3.0,2.0,2.0,128.177557499
1,2.0,3.0,2.0,2.5,128.417369787
1,2.0,3.0,2.0,2.5,123.457999955
1,2.0,3.0,2.0,2.5,126.516215977
1,2.0,3.0,2.0,2.5,131.830506645
1,2.0,3.0,2.0,2.5,124.818600416
1,2.0,3.0,2.0,3.0,126.888691752
1,2.0,3.0,2.0,3.0,122.47741977
1,2.0,3.0,2.0,3.0,126.408795918
1,2.0,3.0,2.0,3.0,125.723119843
1,2.0,3.0,2.0,3.0,123.222008556
1,2.0,3.0,2.5,2.0,125.924365433
1,2.0,3.0,2.5,2.0,124.772617559
1,2.0,3.0,2.5,2.0,124.926043994
1,2.0,3.0,2.5,2.0,127.593658855
1,2.0,3.0,2.5,2.0,128.825816641
1,2.0,3.0,2.5,2.5,127.695541403
1,2.0,3.0,2.5,2.5,127.256229747
1,2.0,3.0,2.5,2.5,128.165734051
