Noise,SigD,SigI,PSNR
1,2.0,2.0,105.661319258
1,2.0,2.0,105.958319001
1,2.0,2.0,108.042639071
1,2.0,2.0,106.97428461
1,2.0,2.0,106.826768917
1,2.0,2.5,105.982597121
1,2.0,2.5,106.245885885
1,2.0,2.5,104.757418387
1,2.0,2.5,105.581372154
1,2.0,2.5,105.528440143
1,2.0,3.0,105.702658928
1,2.0,3.0,105.595093866
1,2.0,3.0,104.400870205
1,2.0,3.0,105.168915574
1,2.0,3.0,104.950181278
1,2.5,2.0,101.860421497
1,2.5,2.0,100.48929059
1,2.5,2.0,101.882453591
1,2.5,2.0,102.418711654
1,2.5,2.0,102.825413257
1,2.5,2.5,100.315513725
1,2.5,2.5,99.5120693185
1,2.5,2.5,100.924380318
1,2.5,2.5,99.8843238709
1,2.5,2.5,100.248762652
1,2.5,3.0,98.3850603435
1,2.5,3.0,100.450539283
1,2.5,3.0,99.3981107669
1,2.5,3.0,99.4756487808
1,2.5,3.0,99.2650103988
1,3.0,2.0,98.6899207689
1,3.0,2.0,97.2985880262
1,3.0,2.0,98.5872131975
1,3.0,2.0,97.9780969377
1,3.0,2.0,97.8426701827
1,3.0,2.5,96.2782185156
1,3.0,2.5,95.8708696723
1,3.0,2.5,96.6165527756
1,3.0,2.5,96.5815743714
1,3.0,2.5,96.6092624748
1,3.0,3.0,95.6084551969
1,3.0,3.0,94.8310507311
1,3.0,3.0,94.7421120182
1,3.0,3.0,94.8919660176
1,3.0,3.0,94.9530739751
5,2.0,2.0,96.5093488139
5,2.0,2.0,99.5739471679
5,2.0,2.0,97.8654245284
5,2.0,2.0,90.5224107168
5,2.0,2.0,97.7977227104
5,2.0,2.5,94.9558931689
5,2.0,2.5,95.4317196921
5,2.0,2.5,92.6697399078
5,2.0,2.5,95.1059895909
5,2.0,2.5,96.3809850704
5,2.0,3.0,94.6961838825
5,2.0,3.0,96.0870534319
5,2.0,3.0,98.3682120273
5,2.0,3.0,96.348373538
5,2.0,3.0,96.0304728272
5,2.5,2.0,95.9172373098
5,2.5,2.0,94.8806284306
5,2.5,2.0,94.4482096121
5,2.5,2.0,95.9678422612
5,2.5,2.0,91.9103739747
5,2.5,2.5,92.3737518292
5,2.5,2.5,92.0163761568
5,2.5,2.5,94.921498091
5,2.5,2.5,94.8571807544
5,2.5,2.5,95.1086758302
5,2.5,3.0,90.8017190301
5,2.5,3.0,94.1523645488
5,2.5,3.0,95.8627765554
5,2.5,3.0,92.9509445619
5,2.5,3.0,94.98043591
5,3.0,2.0,89.4996572185
5,3.0,2.0,90.2398788897
5,3.0,2.0,93.3536766168
5,3.0,2.0,92.0929321976
5,3.0,2.0,93.2328757572
5,3.0,2.5,90.8842550257
5,3.0,2.5,92.1341950641
5,3.0,2.5,92.7358147342
5,3.0,2.5,89.9033711255
5,3.0,2.5,94.4544840712
5,3.0,3.0,90.1352586575
5,3.0,3.0,89.6831678655
5,3.0,3.0,91.178418572
5,3.0,3.0,91.4013839546
5,3.0,3.0,92.2653784955
10,2.0,2.0,82.6883029863
10,2.0,2.0,84.1937543943
10,2.0,2.0,85.565245143
10,2.0,2.0,86.964103258
10,2.0,2.0,83.1295666485
10,2.0,2.5,85.5093893499
10,2.0,2.5,83.2467150656
10,2.0,2.5,86.0101865488
10,2.0,2.5,83.7901035143
10,2.0,2.5,84.6647774082
10,2.0,3.0,89.1178542262
10,2.0,3.0,84.0332978148
10,2.0,3.0,84.6094151633
10,2.0,3.0,83.7746948015
10,2.0,3.0,85.5506903385
10,2.5,2.0,84.2299995096
10,2.5,2.0,81.3559454215
10,2.5,2.0,87.6606540306
10,2.5,2.0,78.4052119902
10,2.5,2.0,84.7232902815
10,2.5,2.5,85.7094857125
10,2.5,2.5,81.7335903958
10,2.5,2.5,88.4141567665
10,2.5,2.5,82.7203976101
10,2.5,2.5,89.0034102164
10,2.5,3.0,84.5615482747
10,2.5,3.0,84.8444647067
10,2.5,3.0,86.155163458
10,2.5,3.0,83.4160185503
10,2.5,3.0,82.7959150616
10,3.0,2.0,82.756814767
10,3.0,2.0,82.4698922502
10,3.0,2.0,88.9804019659
10,3.0,2.0,83.0355419168
10,3.0,2.0,87.1639110237
10,3.0,2.5,82.9577424898
10,3.0,2.5,87.0855212837
10,3.0,2.5,84.2643049449
10,3.0,2.5,85.308489886
10,3.0,2.5,83.4436393126
10,3.0,3.0,80.5483450783
10,3.0,3.0,88.551874943
10,3.0,3.0,83.3240632495
10,3.0,3.0,85.6982313361
10,3.0,3.0,85.9426148165
20,2.0,2.0,70.5178120519
20,2.0,2.0,72.275054793
20,2.0,2.0,68.7652079148
20,2.0,2.0,72.3295331572
20,2.0,2.0,73.0915641945
20,2.0,2.5,70.0233454055
20,2.0,2.5,70.5004794361
20,2.0,2.5,69.2786237408
20,2.0,2.5,74.5695814684
20,2.0,2.5,71.2102086564
20,2.0,3.0,73.2427785013
20,2.0,3.0,70.5600843469
20,2.0,3.0,68.0219919257
20,2.0,3.0,73.6412833129
20,2.0,3.0,73.28474553
20,2.5,2.0,73.3969552895
20,2.5,2.0,71.5394909725
20,2.5,2.0,72.6861194797
20,2.5,2.0,72.9402615943
20,2.5,2.0,72.3340960212
20,2.5,2.5,70.5826307929
20,2.5,2.5,74.6210660089
20,2.5,2.5,72.2047549806
20,2.5,2.5,72.1283697737
20,2.5,2.5,67.686494484
20,2.5,3.0,70.6612190447
20,2.5,3.0,71.9348305123
20,2.5,3.0,67.5280174525
20,2.5,3.0,72.1570492109
20,2.5,3.0,73.1681701901
20,3.0,2.0,76.0025220128
20,3.0,2.0,68.4995637905
20,3.0,2.0,70.820698143
20,3.0,2.0,69.7507238897
20,3.0,2.0,73.8376522788
20,3.0,2.5,71.0796412398
20,3.0,2.5,75.9386207224
20,3.0,2.5,69.8293780201
20,3.0,2.5,72.0385356505
20,3.0,2.5,74.0865985961
20,3.0,3.0,71.8084380734
20,3.0,3.0,70.6525809268
20,3.0,3.0,70.6110760952
20,3.0,3.0,70.2253522347
20,3.0,3.0,71.3526051372
30,2.0,2.0,60.5611580328
30,2.0,2.0,60.3790006645
30,2.0,2.0,61.1587044393
30,2.0,2.0,58.5751064856
30,2.0,2.0,61.8969250023
30,2.0,2.5,64.9706581238
30,2.0,2.5,60.7931990473
30,2.0,2.5,61.4619528723
