Noise,SigD,SigI,PSNR
1,2.0,2.0,123.955460274
1,2.0,2.0,122.597882917
1,2.0,2.0,130.139178153
1,2.0,2.0,124.567293778
1,2.0,2.0,123.000397309
1,2.0,2.5,128.021794261
1,2.0,2.5,128.092950137
1,2.0,2.5,127.422145256
1,2.0,2.5,125.996981835
1,2.0,2.5,128.647983998
1,2.0,3.0,128.495253413
1,2.0,3.0,122.661734381
1,2.0,3.0,127.602518011
1,2.0,3.0,125.236147898
1,2.0,3.0,127.56733882
1,2.5,2.0,126.175292758
1,2.5,2.0,124.139233454
1,2.5,2.0,124.834431652
1,2.5,2.0,128.412144938
1,2.5,2.0,127.027760083
1,2.5,2.5,128.06766111
1,2.5,2.5,120.072041356
1,2.5,2.5,124.997780657
1,2.5,2.5,126.196308764
1,2.5,2.5,128.119284426
1,2.5,3.0,125.984932863
1,2.5,3.0,125.020459117
1,2.5,3.0,125.772654435
1,2.5,3.0,124.843999562
1,2.5,3.0,123.237800517
1,3.0,2.0,122.270840218
1,3.0,2.0,119.621731079
1,3.0,2.0,125.748810068
1,3.0,2.0,124.562304828
1,3.0,2.0,127.513690179
1,3.0,2.5,125.058125869
1,3.0,2.5,129.138897619
1,3.0,2.5,125.296945163
1,3.0,2.5,123.869769405
1,3.0,2.5,127.278105956
1,3.0,3.0,123.047117292
1,3.0,3.0,124.230125785
1,3.0,3.0,125.064000782
1,3.0,3.0,123.978789266
1,3.0,3.0,125.537847567
5,2.0,2.0,92.6498177975
5,2.0,2.0,96.0761059372
5,2.0,2.0,95.906828327
5,2.0,2.0,91.8400439024
5,2.0,2.0,94.1272596776
5,2.0,2.5,96.2063322181
5,2.0,2.5,95.8766637877
5,2.0,2.5,98.4314238074
5,2.0,2.5,98.4076480872
5,2.0,2.5,97.9744682089
5,2.0,3.0,97.0931034128
5,2.0,3.0,95.7235203898
5,2.0,3.0,96.4561378693
5,2.0,3.0,97.6496906802
5,2.0,3.0,96.9899971494
5,2.5,2.0,102.542468951
5,2.5,2.0,102.579840846
5,2.5,2.0,99.2241919727
5,2.5,2.0,97.753175552
5,2.5,2.0,92.9575662701
5,2.5,2.5,98.9495898421
5,2.5,2.5,99.4003233602
5,2.5,2.5,95.9950624588
5,2.5,2.5,100.417552033
5,2.5,2.5,96.9185125913
5,2.5,3.0,98.9266039534
5,2.5,3.0,99.6958999866
5,2.5,3.0,98.8684954179
5,2.5,3.0,98.0136648934
5,2.5,3.0,99.5756289385
5,3.0,2.0,99.6725684536
5,3.0,2.0,95.3221854529
5,3.0,2.0,97.9958541577
5,3.0,2.0,97.4148659449
5,3.0,2.0,100.358932988
5,3.0,2.5,98.9014769285
5,3.0,2.5,98.5191241479
5,3.0,2.5,99.0759831846
5,3.0,2.5,98.9891804894
5,3.0,2.5,101.915130588
5,3.0,3.0,96.2302933925
5,3.0,3.0,99.4071743268
5,3.0,3.0,99.6337780671
5,3.0,3.0,99.3371881305
5,3.0,3.0,97.2389962958
10,2.0,2.0,80.3888011271
10,2.0,2.0,77.2803992328
10,2.0,2.0,79.0517297859
10,2.0,2.0,75.7870904733
10,2.0,2.0,82.222737167
10,2.0,2.5,79.5506042085
10,2.0,2.5,85.1310785676
10,2.0,2.5,79.6322438875
10,2.0,2.5,76.7250731001
10,2.0,2.5,79.7620984774
10,2.0,3.0,83.6808631022
10,2.0,3.0,83.889172563
10,2.0,3.0,82.7057247947
10,2.0,3.0,80.923690971
10,2.0,3.0,76.1403414612
10,2.5,2.0,81.2864942894
10,2.5,2.0,79.7471999282
10,2.5,2.0,79.2695596707
10,2.5,2.0,82.3159296217
10,2.5,2.0,80.698235788
10,2.5,2.5,82.7367954785
10,2.5,2.5,80.1151240688
10,2.5,2.5,83.850732149
10,2.5,2.5,84.6668820569
10,2.5,2.5,85.0150608904
10,2.5,3.0,79.6336106304
10,2.5,3.0,79.3034922189
10,2.5,3.0,84.7388796939
10,2.5,3.0,82.3454809105
10,2.5,3.0,83.143311853
10,3.0,2.0,79.3246437671
10,3.0,2.0,81.0305714964
10,3.0,2.0,85.7497457103
10,3.0,2.0,83.5523215216
10,3.0,2.0,83.2348299841
10,3.0,2.5,83.3641541275
10,3.0,2.5,88.1735347815
10,3.0,2.5,81.7220771976
10,3.0,2.5,88.5470202164
10,3.0,2.5,83.0527059985
10,3.0,3.0,86.1320794708
10,3.0,3.0,81.465451393
10,3.0,3.0,82.308277588
10,3.0,3.0,84.3125922708
10,3.0,3.0,82.3502826604
20,2.0,2.0,64.1621901918
20,2.0,2.0,66.5529039745
20,2.0,2.0,66.234053522
20,2.0,2.0,63.1646095654
20,2.0,2.0,66.0121228955
20,2.0,2.5,67.5008655113
20,2.0,2.5,65.2772447226
20,2.0,2.5,65.3607184682
20,2.0,2.5,65.8862437339
20,2.0,2.5,65.2476895241
20,2.0,3.0,69.1234976982
20,2.0,3.0,64.43560113
20,2.0,3.0,66.0570372798
20,2.0,3.0,64.6779164315
20,2.0,3.0,68.3626656152
20,2.5,2.0,67.1558557782
20,2.5,2.0,67.9648602223
20,2.5,2.0,66.4061183696
20,2.5,2.0,67.6602906301
20,2.5,2.0,66.2034990235
20,2.5,2.5,70.2492335325
20,2.5,2.5,72.5537098679
20,2.5,2.5,72.3947305123
20,2.5,2.5,68.7680018723
20,2.5,2.5,68.3353741487
20,2.5,3.0,69.3982804715
20,2.5,3.0,66.6129482871
20,2.5,3.0,70.0833865505
20,2.5,3.0,66.1666903206
20,2.5,3.0,71.5112318216
20,3.0,2.0,66.5547225358
20,3.0,2.0,70.8748473357
20,3.0,2.0,72.2895682913
20,3.0,2.0,69.9784519292
20,3.0,2.0,62.8071361833
20,3.0,2.5,73.8198621964
20,3.0,2.5,66.8178069756
20,3.0,2.5,70.8160785239
20,3.0,2.5,66.4528794048
20,3.0,2.5,67.6174496367
20,3.0,3.0,68.7209799376
20,3.0,3.0,71.2522427498
20,3.0,3.0,68.447068132
20,3.0,3.0,70.7231294748
20,3.0,3.0,71.514459994
30,2.0,2.0,56.9066510438
30,2.0,2.0,59.4399586551
30,2.0,2.0,57.7713127094
30,2.0,2.0,56.3263327534
30,2.0,2.0,54.1986614732
30,2.0,2.5,57.8023751763
30,2.0,2.5,59.1431089718
30,2.0,2.5,60.6032333378
30,2.0,2.5,56.3518680791
30,2.0,2.5,60.5635991953
30,2.0,3.0,56.5755248092
30,2.0,3.0,59.6863756262
30,2.0,3.0,63.9313042666
30,2.0,3.0,62.8532317908
30,2.0,3.0,58.7052431101
30,2.5,2.0,62.3639219227
30,2.5,2.0,62.8914414083
30,2.5,2.0,58.6799138377
30,2.5,2.0,63.262267506
30,2.5,2.0,65.3070382998
30,2.5,2.5,60.7961948386
30,2.5,2.5,62.479423858
30,2.5,2.5,62.5114953608
30,2.5,2.5,63.4596218954
30,2.5,2.5,57.9253678167
30,2.5,3.0,65.4794086184
30,2.5,3.0,62.12661623
30,2.5,3.0,57.9604951622
30,2.5,3.0,58.5127209679
30,2.5,3.0,61.227741867
30,3.0,2.0,57.8665305127
30,3.0,2.0,60.5710604808
30,3.0,2.0,62.2758586909
30,3.0,2.0,60.8631596915
30,3.0,2.0,60.2310950078
30,3.0,2.5,59.0299295719
30,3.0,2.5,65.04116852
30,3.0,2.5,63.6971878705
30,3.0,2.5,65.4617239473
30,3.0,2.5,62.8900449559
30,3.0,3.0,61.6480394776
30,3.0,3.0,66.7277090357
30,3.0,3.0,61.2694889302
30,3.0,3.0,62.6104230871
30,3.0,3.0,60.3435966788
1,2.8,2.5,123.196559495
1,2.8,2.5,122.97306908
1,2.8,2.5,125.895266236
1,2.8,2.5,123.854331117
1,2.8,2.5,125.98185734
1,2.8,2.6,127.698409514
1,2.8,2.6,123.575683679
1,2.8,2.6,125.076841297
1,2.8,2.6,124.051778109
1,2.8,2.6,125.583237041
1,2.8,2.7,124.186963181
1,2.8,2.7,128.036675221
1,2.8,2.7,125.746870487
1,2.8,2.7,131.350193803
1,2.8,2.7,125.48294538
1,2.9,2.5,124.219573614
1,2.9,2.5,125.146845426
1,2.9,2.5,125.524845093
1,2.9,2.5,123.338096686
1,2.9,2.5,123.594899811
1,2.9,2.6,124.813509538
1,2.9,2.6,120.935133218
1,2.9,2.6,122.463309397
1,2.9,2.6,124.210555469
1,2.9,2.6,125.462743768
1,2.9,2.7,127.227568277
1,2.9,2.7,124.630223916
1,2.9,2.7,126.164712548
1,2.9,2.7,124.742902453
1,2.9,2.7,123.640179227
1,3.0,2.5,123.440856958
1,3.0,2.5,123.303984878
1,3.0,2.5,124.359064188
1,3.0,2.5,125.895872963
1,3.0,2.5,125.060628676
1,3.0,2.6,123.491930066
1,3.0,2.6,124.640848467
1,3.0,2.6,125.342896633
1,3.0,2.6,121.286345503
1,3.0,2.6,128.221810654
1,3.0,2.7,127.232765763
1,3.0,2.7,125.221792373
1,3.0,2.7,125.894269782
1,3.0,2.7,122.906419751
1,3.0,2.7,123.286958477
5,2.8,2.5,103.464455786
5,2.8,2.5,100.868919684
5,2.8,2.5,93.0884475376
5,2.8,2.5,99.5298931584
5,2.8,2.5,98.6138054122
5,2.8,2.6,94.2341722225
5,2.8,2.6,96.4773099652
5,2.8,2.6,103.05306753
5,2.8,2.6,99.3837252206
5,2.8,2.6,97.6352711321
5,2.8,2.7,96.3640501785
5,2.8,2.7,98.8676966604
5,2.8,2.7,98.0438304581
5,2.8,2.7,103.94616537
5,2.8,2.7,99.5724562022
5,2.9,2.5,99.081797164
5,2.9,2.5,94.7727332544
5,2.9,2.5,100.119197379
5,2.9,2.5,99.4432248996
5,2.9,2.5,96.1076472376
5,2.9,2.6,98.1080794971
5,2.9,2.6,100.46981627
5,2.9,2.6,97.9575392827
5,2.9,2.6,96.6519271743
5,2.9,2.6,100.046107834
5,2.9,2.7,97.5830954541
5,2.9,2.7,97.9888003047
5,2.9,2.7,101.665469228
5,2.9,2.7,102.257632912
5,2.9,2.7,101.600503886
5,3.0,2.5,105.586338422
5,3.0,2.5,98.2710052524
5,3.0,2.5,96.0651827948
5,3.0,2.5,101.294514571
5,3.0,2.5,96.5921759441
5,3.0,2.6,96.5093748514
5,3.0,2.6,97.9291516208
5,3.0,2.6,98.5960079333
5,3.0,2.6,94.2389722663
5,3.0,2.6,96.7608136935
5,3.0,2.7,96.443789442
5,3.0,2.7,96.5084393852
