Noise,Beta1,Window1,T1,Beta2,Window2,T2,PSNR
1,0.34,7,0.63,0.44,7,0.6,100.339990507
1,0.34,7,0.63,0.44,7,0.6,98.5782908502
1,0.34,7,0.63,0.44,7,0.6,100.590503355
1,0.34,7,0.63,0.44,7,0.6,100.732509747
1,0.34,7,0.63,0.44,7,0.6,103.1161306
1,0.34,7,0.63,0.44,7,0.8,103.101424955
1,0.34,7,0.63,0.44,7,0.8,100.185357723
1,0.34,7,0.63,0.44,7,0.8,104.008453395
1,0.34,7,0.63,0.44,7,0.8,101.837108887
1,0.34,7,0.63,0.44,7,0.8,99.4997256152
1,0.34,7,0.63,0.64,7,0.6,100.451591718
1,0.34,7,0.63,0.64,7,0.6,100.473394807
1,0.34,7,0.63,0.64,7,0.6,99.7718075371
1,0.34,7,0.63,0.64,7,0.6,99.8565681149
1,0.34,7,0.63,0.64,7,0.6,100.232441668
1,0.34,7,0.63,0.64,7,0.8,99.5989500569
1,0.34,7,0.63,0.64,7,0.8,101.150072673
1,0.34,7,0.63,0.64,7,0.8,98.5478747902
1,0.34,7,0.63,0.64,7,0.8,99.376193702
1,0.34,7,0.63,0.64,7,0.8,101.110351313
1,0.34,7,0.83,0.44,7,0.6,101.427898898
1,0.34,7,0.83,0.44,7,0.6,103.223034179
1,0.34,7,0.83,0.44,7,0.6,100.637685062
1,0.34,7,0.83,0.44,7,0.6,99.6301014236
1,0.34,7,0.83,0.44,7,0.6,100.784079262
1,0.34,7,0.83,0.44,7,0.8,101.799424689
1,0.34,7,0.83,0.44,7,0.8,100.913173056
1,0.34,7,0.83,0.44,7,0.8,102.001806881
1,0.34,7,0.83,0.44,7,0.8,99.9580324723
1,0.34,7,0.83,0.44,7,0.8,101.693981635
1,0.34,7,0.83,0.64,7,0.6,100.895727322
1,0.34,7,0.83,0.64,7,0.6,101.516692592
1,0.34,7,0.83,0.64,7,0.6,99.4727074631
1,0.34,7,0.83,0.64,7,0.6,98.092400832
1,0.34,7,0.83,0.64,7,0.6,100.824431289
1,0.34,7,0.83,0.64,7,0.8,99.0369691426
1,0.34,7,0.83,0.64,7,0.8,101.975455295
1,0.34,7,0.83,0.64,7,0.8,102.00854898
1,0.34,7,0.83,0.64,7,0.8,101.076654036
1,0.34,7,0.83,0.64,7,0.8,99.0748327279
1,0.54,7,0.63,0.44,7,0.6,100.392541479
1,0.54,7,0.63,0.44,7,0.6,100.40707058
1,0.54,7,0.63,0.44,7,0.6,99.8894117445
1,0.54,7,0.63,0.44,7,0.6,98.5279057843
1,0.54,7,0.63,0.44,7,0.6,98.1944014326
1,0.54,7,0.63,0.44,7,0.8,99.0636275723
1,0.54,7,0.63,0.44,7,0.8,100.506328831
1,0.54,7,0.63,0.44,7,0.8,99.6219957196
1,0.54,7,0.63,0.44,7,0.8,99.0802003172
1,0.54,7,0.63,0.44,7,0.8,100.893474861
1,0.54,7,0.63,0.64,7,0.6,99.5552956601
1,0.54,7,0.63,0.64,7,0.6,95.8752924057
1,0.54,7,0.63,0.64,7,0.6,97.6376659968
1,0.54,7,0.63,0.64,7,0.6,97.727224362
1,0.54,7,0.63,0.64,7,0.6,96.8336145068
1,0.54,7,0.63,0.64,7,0.8,98.8395212181
1,0.54,7,0.63,0.64,7,0.8,97.5894664124
1,0.54,7,0.63,0.64,7,0.8,97.3447462946
