Noise,Beta,Window,T,PSNR
10,0.5,3,0.9,69.0117529662
10,0.5,3,0.9,69.4777057872
10,0.5,3,0.9,66.8448796437
10,0.5,3,0.9,70.5110131243
10,0.5,3,0.9,70.5806402299
10,0.5,3,0.925,68.5718483584
10,0.5,3,0.925,70.4066689459
10,0.5,3,0.925,70.3976294073
10,0.5,3,0.925,69.639844718
10,0.5,3,0.925,69.0394812856
10,0.5,3,0.95,71.5746443142
10,0.5,3,0.95,70.8414935008
10,0.5,3,0.95,69.3532212036
10,0.5,3,0.95,68.2911064396
10,0.5,3,0.95,68.7344066999
10,0.5,3,0.975,68.2278611108
10,0.5,3,0.975,68.4598242524
10,0.5,3,0.975,68.7809567821
10,0.5,3,0.975,68.0897185312
10,0.5,3,0.975,69.7017417455
10,0.5,5,0.9,73.351712913
10,0.5,5,0.9,73.145609306
10,0.5,5,0.9,73.7783563592
10,0.5,5,0.9,77.7625398694
10,0.5,5,0.9,66.7141869462
10,0.5,5,0.925,73.2843586313
10,0.5,5,0.925,71.8385288864
10,0.5,5,0.925,72.3493378189
10,0.5,5,0.925,68.9611655471
10,0.5,5,0.925,75.4086480226
10,0.5,5,0.95,71.7785475889
10,0.5,5,0.95,75.118879542
10,0.5,5,0.95,70.7370106996
10,0.5,5,0.95,71.6618527679
10,0.5,5,0.95,68.213585299
10,0.5,5,0.975,68.9145166757
10,0.5,5,0.975,69.7270316106
10,0.5,5,0.975,69.1005548565
10,0.5,5,0.975,71.593891298
10,0.5,5,0.975,72.9034678368
10,0.5,7,0.9,72.2051533997
10,0.5,7,0.9,73.9962298088
10,0.5,7,0.9,75.6740344733
10,0.5,7,0.9,72.0938069657
10,0.5,7,0.9,69.9077107513
10,0.5,7,0.925,73.4671692306
10,0.5,7,0.925,70.6448736697
10,0.5,7,0.925,71.3146920875
10,0.5,7,0.925,73.733627477
10,0.5,7,0.925,74.5500377059
10,0.5,7,0.95,73.6708300775
10,0.5,7,0.95,72.7645245363
10,0.5,7,0.95,71.8317368959
10,0.5,7,0.95,74.5869777052
10,0.5,7,0.95,69.2496531895
10,0.5,7,0.975,74.2696241054
10,0.5,7,0.975,73.4825232806
10,0.5,7,0.975,72.7980956547
10,0.5,7,0.975,75.814785535
10,0.5,7,0.975,74.4827134555
10,0.5,9,0.9,74.1854482869
10,0.5,9,0.9,70.333783665
10,0.5,9,0.9,72.0802504471
10,0.5,9,0.9,70.7530874938
10,0.5,9,0.9,69.483393658
10,0.5,9,0.925,74.5146617334
10,0.5,9,0.925,74.6660336715
10,0.5,9,0.925,77.4176340421
10,0.5,9,0.925,73.9457662791
10,0.5,9,0.925,70.6558146977
10,0.5,9,0.95,67.1792278914
10,0.5,9,0.95,75.0961529877
10,0.5,9,0.95,70.1913534891
10,0.5,9,0.95,69.1981077436
10,0.5,9,0.95,72.5237502384
10,0.5,9,0.975,74.0215118497
10,0.5,9,0.975,69.4191671648
10,0.5,9,0.975,72.8072658713
10,0.5,9,0.975,72.5667509751
10,0.5,9,0.975,69.2777078828
10,0.75,3,0.9,64.7934504771
10,0.75,3,0.9,68.7868014739
10,0.75,3,0.9,71.8095027146
10,0.75,3,0.9,67.5478975837
10,0.75,3,0.9,72.1516475491
10,0.75,3,0.925,68.3809753461
10,0.75,3,0.925,68.0020489375
10,0.75,3,0.925,68.1165065393
10,0.75,3,0.925,72.9270442287
10,0.75,3,0.925,70.1371575579
10,0.75,3,0.95,72.0102887537
10,0.75,3,0.95,69.7057122804
10,0.75,3,0.95,72.0332101213
10,0.75,3,0.95,66.4296949866
10,0.75,3,0.95,73.2449581333
