Noise,Thresh,PSNR
10,0.1,61.8771938855
10,0.1,62.4750572886
10,0.1,62.8297313452
10,0.1,60.4739799378
10,0.1,62.703227929
10,1.0,57.7977722523
10,1.0,57.7964928952
10,1.0,57.4544052103
10,1.0,58.3492920532
10,1.0,57.8412695364
10,2.0,58.308366152
10,2.0,58.2160463574
10,2.0,57.8637909267
10,2.0,58.206153386
10,2.0,58.0152819785
10,3.0,31.9288385618
10,3.0,31.9034049123
10,3.0,31.9338506836
10,3.0,31.792082906
10,3.0,32.0557092634
20,0.1,52.5247091946
20,0.1,50.3964083678
20,0.1,49.9081668047
20,0.1,51.5030655752
20,0.1,52.738620643
20,1.0,51.9132078518
20,1.0,51.3178340733
20,1.0,51.6374798496
20,1.0,52.2936161625
20,1.0,52.032036872
20,2.0,59.6698779629
20,2.0,41.836560828
20,2.0,36.22094208
20,2.0,43.9709902426
20,2.0,36.0045645644
20,3.0,31.8276038455
20,3.0,32.0403726538
20,3.0,31.8259836001
20,3.0,37.4689905855
20,3.0,31.8449675992
30,0.1,43.0844597378
30,0.1,45.442663383
30,0.1,42.5714386981
30,0.1,44.4682148861
30,0.1,42.954340575
30,1.0,46.2891187992
30,1.0,46.8305119608
30,1.0,45.5174166918
30,1.0,46.2150356632
30,1.0,47.4117106952
30,2.0,36.3255619003
30,2.0,37.1732621052
30,2.0,35.6740419074
30,2.0,37.4515348892
30,2.0,37.0949236601
30,3.0,32.0286078441
30,3.0,32.0028167911
30,3.0,32.0118096121
30,3.0,32.2700727744
30,3.0,31.8548057151
10,0.25,61.5216477282
10,0.25,61.5857180549
10,0.25,63.398809312
10,0.25,62.7511695501
10,0.25,60.6067141358
10,0.5,63.561521944
10,0.5,64.1024145702
10,0.5,64.2383257602
10,0.5,64.5597439934
10,0.5,65.2938631702
10,0.75,65.1855896765
10,0.75,64.4512730691
10,0.75,57.1006584671
10,0.75,66.3076482367
10,0.75,64.6398782897
20,0.25,50.1977589918
20,0.25,50.6415301493
20,0.25,48.3193433029
20,0.25,51.2264818367
20,0.25,51.3644503719
20,0.5,50.8728992722
20,0.5,50.3773032193
20,0.5,48.8709288256
20,0.5,52.0397541293
20,0.5,50.3445806296
20,0.75,50.9299143993
20,0.75,47.4993034102
20,0.75,48.3961238186
20,0.75,50.2871325521
20,0.75,50.0172342138
30,0.25,42.9814743435
30,0.25,45.5028445092
30,0.25,44.4227200955
30,0.25,45.3320978228
30,0.25,45.0216552969
30,0.5,44.4763315649
30,0.5,44.0901081873
30,0.5,46.6797188758
30,0.5,43.7703188724
30,0.5,44.1078686837
30,0.75,45.2146885383
30,0.75,44.7826412411
30,0.75,44.8062579061
30,0.75,44.5370283053
30,0.75,43.8060607406
10,0.15,63.2871691309
10,0.15,62.5041163335
10,0.15,62.0128928916
10,0.15,61.7098485957
10,0.15,62.1476691766
10,0.35,62.0051984325
10,0.35,61.9213690244
10,0.35,61.714757577
10,0.35,61.5753620113
10,0.35,61.7025458886
10,0.45,59.9988270169
10,0.45,62.8458686933
10,0.45,64.0111739763
10,0.45,62.949997298
10,0.45,62.142207492
10,0.55,62.7570669273
10,0.55,62.3677880896
10,0.55,63.6961287132
10,0.55,65.8315950795
10,0.55,65.0242784165
10,0.65,64.6539318606
10,0.65,65.3205101297
10,0.65,63.3335408566
10,0.65,62.8931303859
10,0.65,62.9314681202
20,0.15,48.7107841076
20,0.15,52.4276645177
20,0.15,48.8291733439
20,0.15,50.5670503077
20,0.15,51.3843664716
